"Sklenitve zakonskih zvez po: LETO , MESEC"

"1990"
" ";"Januar";350
" ";"Februar";502
" ";"Marec";386
" ";"April";878
" ";"Maj";1165
" ";"Junij";958
" ";"Julij";710
" ";"Avgust";757
" ";"September";1000
" ";"Oktober";750
" ";"November";478
" ";"December";583
"1991"
" ";"Januar";309
" ";"Februar";378
" ";"Marec";288
" ";"April";687
" ";"Maj";1248
" ";"Junij";885
" ";"Julij";651
" ";"Avgust";997
" ";"September";966
" ";"Oktober";739
" ";"November";476
" ";"December";549
"1992"
" ";"Januar";332
" ";"Februar";541
" ";"Marec";328
" ";"April";599
" ";"Maj";1430
" ";"Junij";923
" ";"Julij";821
" ";"Avgust";1243
" ";"September";1038
" ";"Oktober";838
" ";"November";533
" ";"December";493
"1993"
" ";"Januar";354
" ";"Februar";500
" ";"Marec";341
" ";"April";699
" ";"Maj";1405
" ";"Junij";990
" ";"Julij";992
" ";"Avgust";966
" ";"September";1031
" ";"Oktober";795
" ";"November";469
" ";"December";480
"1994"
" ";"Januar";349
" ";"Februar";389
" ";"Marec";263
" ";"April";765
" ";"Maj";1275
" ";"Junij";869
" ";"Julij";974
" ";"Avgust";878
" ";"September";993
" ";"Oktober";780
" ";"November";386
" ";"December";393
"1995"
" ";"Januar";264
" ";"Februar";407
" ";"Marec";259
" ";"April";702
" ";"Maj";1285
" ";"Junij";962
" ";"Julij";867
" ";"Avgust";922
" ";"September";1149
" ";"Oktober";675
" ";"November";352
" ";"December";401
"1996"
" ";"Januar";231
" ";"Februar";311
" ";"Marec";255
" ";"April";525
" ";"Maj";1073
" ";"Junij";1115
" ";"Julij";643
" ";"Avgust";1031
" ";"September";956
" ";"Oktober";683
" ";"November";345
" ";"December";387
"1997"
" ";"Januar";208
" ";"Februar";243
" ";"Marec";263
" ";"April";657
" ";"Maj";1319
" ";"Junij";826
" ";"Julij";711
" ";"Avgust";1071
" ";"September";927
" ";"Oktober";655
" ";"November";342
" ";"December";273
"1998"
" ";"Januar";259
" ";"Februar";344
" ";"Marec";232
" ";"April";560
" ";"Maj";1240
" ";"Junij";885
" ";"Julij";735
" ";"Avgust";1019
" ";"September";980
" ";"Oktober";638
" ";"November";316
" ";"December";320
"1999"
" ";"Januar";243
" ";"Februar";270
" ";"Marec";295
" ";"April";630
" ";"Maj";1272
" ";"Junij";866
" ";"Julij";984
" ";"Avgust";751
" ";"September";1011
" ";"Oktober";745
" ";"November";343
" ";"December";306
"2000"
" ";"Januar";208
" ";"Februar";299
" ";"Marec";277
" ";"April";465
" ";"Maj";1112
" ";"Junij";874
" ";"Julij";908
" ";"Avgust";851
" ";"September";1136
" ";"Oktober";531
" ";"November";285
" ";"December";255
"2001"
" ";"Januar";190
" ";"Februar";280
" ";"Marec";269
" ";"April";531
" ";"Maj";1003
" ";"Junij";947
" ";"Julij";689
" ";"Avgust";792
" ";"September";1055
" ";"Oktober";507
" ";"November";278
" ";"December";394
"2002"
" ";"Januar";202
" ";"Februar";258
" ";"Marec";284
" ";"April";536
" ";"Maj";1023
" ";"Junij";1098
" ";"Julij";736
" ";"Avgust";941
" ";"September";896
" ";"Oktober";523
" ";"November";271
" ";"December";296
"2003"
" ";"Januar";190
" ";"Februar";210
" ";"Marec";280
" ";"April";415
" ";"Maj";1181
" ";"Junij";877
" ";"Julij";706
" ";"Avgust";947
" ";"September";862
" ";"Oktober";515
" ";"November";277
" ";"December";296
"2004"
" ";"Januar";182
" ";"Februar";280
" ";"Marec";221
" ";"April";492
" ";"Maj";1092
" ";"Junij";883
" ";"Julij";750
" ";"Avgust";778
" ";"September";860
" ";"Oktober";531
" ";"November";222
" ";"December";267
"2005"
" ";"Januar";192
" ";"Februar";168
" ";"Marec";178
" ";"April";456
" ";"Maj";893
" ";"Junij";713
" ";"Julij";762
" ";"Avgust";750
" ";"September";841
" ";"Oktober";424
" ";"November";196
" ";"December";196
"2006"
" ";"Januar";163
" ";"Februar";220
" ";"Marec";246
" ";"April";438
" ";"Maj";902
" ";"Junij";876
" ";"Julij";795
" ";"Avgust";759
" ";"September";1041
" ";"Oktober";421
" ";"November";244
" ";"December";263
"2007"
" ";"Januar";170
" ";"Februar";198
" ";"Marec";224
" ";"April";415
" ";"Maj";857
" ";"Junij";965
" ";"Julij";953
" ";"Avgust";682
" ";"September";984
" ";"Oktober";475
" ";"November";229
" ";"December";221
"2008"
" ";"Januar";165
" ";"Februar";192
" ";"Marec";255
" ";"April";484
" ";"Maj";1086
" ";"Junij";978
" ";"Julij";736
" ";"Avgust";997
" ";"September";877
" ";"Oktober";484
" ";"November";205
" ";"December";244
"2009"
" ";"Januar";153
" ";"Februar";238
" ";"Marec";233
" ";"April";425
" ";"Maj";1044
" ";"Junij";966
" ";"Julij";718
" ";"Avgust";917
" ";"September";966
" ";"Oktober";467
" ";"November";201
" ";"December";214
"2010"
" ";"Januar";196
" ";"Februar";183
" ";"Marec";242
" ";"April";453
" ";"Maj";1076
" ";"Junij";900
" ";"Julij";872
" ";"Avgust";811
" ";"September";840
" ";"Oktober";496
" ";"November";227
" ";"December";232
"2011"
" ";"Januar";174
" ";"Februar";206
" ";"Marec";281
" ";"April";383
" ";"Maj";984
" ";"Junij";963
" ";"Julij";919
" ";"Avgust";842
" ";"September";885
" ";"Oktober";491
" ";"November";271
" ";"December";272
"2012"
" ";"Januar";171
" ";"Februar";244
" ";"Marec";268
" ";"April";418
" ";"Maj";1022
" ";"Junij";1177
" ";"Julij";802
" ";"Avgust";856
" ";"September";1048
" ";"Oktober";426
" ";"November";226
" ";"December";399
"2013"
" ";"Januar";183
" ";"Februar";202
" ";"Marec";228
" ";"April";358
" ";"Maj";936
" ";"Junij";1015
" ";"Julij";713
" ";"Avgust";932
" ";"September";773
" ";"Oktober";421
" ";"November";227
" ";"December";266
"2014"
" ";"Januar";187
" ";"Februar";231
" ";"Marec";262
" ";"April";350
" ";"Maj";1029
" ";"Junij";1013
" ";"Julij";695
" ";"Avgust";1028
" ";"September";845
" ";"Oktober";432
" ";"November";215
" ";"December";284

"Vir: Statistièni urad Republike Slovenije."

